Id;Surname;Name;Patronimic;Login;Password;IdStatusEmployee;IdRole;PhoneNumber;Gender;Photo
1;Чашин;Елизар;Михеевич;Elizor@gmai.com;yntiRS;1;1;8-107-628-29-16;М;
2;Филенкова;Владлена;Олеговна;Vladlena@gmai.com;07i7Lb;1;2;8-334-146-01-51;Ж;
3;Ломовцев;Адам;Владимирович;Adam@gmai.com;7SP9CV;1;3;8-856-051-93-29;М;
4;Тепляков;Кир;Федосиевич;Kar@gmai.com;6QF1WB;2;2;8-824-893-24-03;М;
5;Рюриков;Юлий;Глебович;Yli@gmai.com;GwffgE;1;1;8-640-270-13-10;М;
6;Беломестина;Василиса;Тимофеевна;Vasilisa@gmai.com;d7iKKV;1;1;8-929-207-44-77;Ж;
7;Панькива;Галина;Яковна;Galina@gmai.com;8KC7wJ;1;2;8-405-088-73-89;Ж;
8;Зарубин;Мирон;Мечиславович;Miron@gmai.com;x58OAN;1;1;8-601-019-50-20;М;
9;Веточкина;Вселава;Андрияновна;Vseslava@gmai.com;fhDSBf;1;3;8-078-429-57-86;Ж;
10;Рябова;Виктория;Елизаровна;Victoria@gmai.com;9mlPQJ;2;3;8-639-490-40-16;Ж;
11;Федотов;Лон;Фёдорович;Anisa@gmai.com;Wh4OYm;1;1;8-223-264-95-99;М;
12;Шарапов;Феофан;Кириллович;Feafan@gmai.com;Kc1PeS;1;2;8-789-762-30-28;М;
